Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,References,Notes/References,,
Neoceratium,Ceratium ,NA,NA,NA,NA,NA,https://img.algaebase.org/pdf/C13170E01dfb92CEDCGWI1A1AD34/gomez_neoceratium.pdf,,,
Siphonophorae,Siphonophora,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=42759&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Mamiellales_fa,Mamiellales,NA,NA,NA,NA,NA,dylans common sense,,,
Eurotiales,Elaphomycetales,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5042&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Gymnodinium_clade,Gymnodinium,NA,NA,NA,NA,NA,dylans common sense,,,
Gymnodiniphycidae,Gymnodinoidia,NA,NA,NA,NA,NA,https://mmbr.asm.org/content/mmbr/57/4/953.full.pdf,,,http://faculty.une.edu/cas/lfritz/old_pages/notes8.htm
Peridiniphycidae,Peridinoidia,NA,NA,NA,NA,NA,https://mmbr.asm.org/content/mmbr/57/4/953.full.pdf,,,
Bacillariophyceae,Raphid pennate diatoms,Raphid-pennate,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=33849&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,Look for raphid_pennate or similar in pr2,"Name 3 is from pr2, based on NCBI this seems correct",
Bacillariophytina,Bacillariophyta_X,NA,NA,NA,NA,NA,https://dergipark.org.tr/en/download/article-file/513603,"-phytina is a subphylum of -phyta, which is noted with an ""_X in pr2's taxonomy",,
Diatomea,Bacillariophyta,NA,NA,NA,NA,NA,Adl et al. 2012,,,
Cyclopoida,Cyclopidea,Thaumatopsylloda,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1101,,,
Aspergillaceae,Ascomycetes,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1131492&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Mediophyceae,Polar-centric-Mediophyceae,NA,NA,NA,NA,NA,dylans common sense,,,
Prymnesiales_fa,Prymnesiales,NA,NA,NA,NA,NA,dylans common sense,,,
Prymnesiales_or,Prymnesiales,NA,NA,NA,NA,NA,dylans common sense,,,
Chlorophyta_ph,Chlorophyta,NA,NA,NA,NA,NA,dylans common sense,,,
Katodinium,Massartia,NA,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=109477,,,
Gymnodiniphycidae_fa,Gymnodiniphycidae,NA,NA,NA,NA,NA,dylans common sense,,,
Oligotrichia,Oligotrichida,Oligotrichina,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=211030&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Sarcinochrysidales_fa,Sarcinochrysidales,NA,NA,NA,NA,NA,dylans common sense,,,
Peronosporomycetes_fa,Peronosporomycetes,Oomycetes,Oomycota,NA,NA,NA,dylans common sense,https://species.wikimedia.org/wiki/Oomycota,Adl et al. 2019,
Peronosporomycetes_or,Peronosporomycetes,Oomycetes,Oomycota,NA,NA,NA,dylans common sense,https://species.wikimedia.org/wiki/Oomycota,Adl et al. 2019,
Peronosporomycetes_cl,Peronosporomycetes,Oomycetes,Oomycota,NA,NA,NA,dylans common sense,https://species.wikimedia.org/wiki/Oomycota,Adl et al. 2019,
Peronosporomycetes,Oomycetes,Oomycota,NA,NA,NA,NA,https://species.wikimedia.org/wiki/Oomycota,https://species.wikimedia.org/wiki/Oomycota,Adl et al. 2019,
Coscinodiscophytina,Bacillariophyta_X,NA,NA,NA,NA,NA,"adl et al 2012 says a class within diatomea aka bacillariophyta, so..",,,
Sporidiobolales,Sporidiaceae,Sporidiales,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=231213&lvl=0,,,
Syndiniales_or,Syndiniales,Syndinida,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=146213; dylans common sense,,,
Syndiniales_Group_II,Syndiniales,Syndinida,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=146213; dylans common sense,,,
Syndiniales_Group_V,Syndiniales,Syndinida,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=146213; dylans common sense,,,
Telonema,Telonemia,NA,NA,NA,NA,NA,Adl et al 2012,,,
Tentaculata,Cyclocoela,Typhlocoela,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&amp;id=140493,,,
Trachymedusae,Trachomedusae,NA,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=16350,,,
Prasinophytae,Micromonadophyceae,NA,NA,NA,NA,NA,adl et al 2012,,,
Stephanoecidae_fa,Stephanoecidae,NA,NA,NA,NA,NA,dylans common sense,,,
Bolidomonas,Bolidophyceae,NA,NA,NA,NA,NA,adl et al 2012,,,
Ochrophyta_fa,Ochrophyta,Chrysomonada,Heterokontophyta,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=345465,dylans common sense,,
Ochrophyta_or,Ochrophyta,Chrysomonada,Heterokontophyta,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=345465,dylans common sense,,
Ochrophyta_cl,Ochrophyta,Chrysomonada,Heterokontophyta,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=345465,dylans common sense,,
Sphaeropleales_fa,Microsporales,Sphaeropleales,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=22971; dylans common sense ,,,
Kinetoplastea,Kinetoplastida,Protomonadida,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5653&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Ustilaginaceae,Mycosyringaceae,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5268&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Eustigmatales_fa,Eustigmatales,NA,NA,NA,NA,NA,dylans common sense,,,
Fragilariales,Bacillariophyta_X,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=33855&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,NCBI says it's within Bacillariophyta...,,
Conthreep,Ventrata,NA,NA,NA,NA,NA,Adl et al 2019,,,
Salpida,Desmomyaria,NA,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=137214,,,
Tunicata,Urochordata,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7712&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Syndiniales_Group_III,Syndinida,Syndiniales,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=146213; dylans common sense,,,
Dinophysiales_fa,Dinophysida,Dinophysiales,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=109390; dylans common sense,,,
Poales_fa,Poales,NA,NA,NA,NA,NA,dylans common sense ,,,
Liliopsida,Monocotyledoneae,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=4447&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Embryophyta,Cormophyta,Plantae,NA,NA,NA,NA,"Adl et al, 2019",,,
Xenopneusta,Echiurida,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=155142#null,,,
Parmeliaceae,Alectoriaceae,Anziaceae,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=78060&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Lecanorales,Cladoniineae,Lecanorineae,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=14000#null,,,
Asteroidea,Concentricycloidea,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7588&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Ochromonadales_fa,Ochromonadales,NA,NA,NA,NA,NA,dylans common sense,,,
Syndiniales_fa,Syndinida,Syndiniales,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=146213; dylans common sense,,,
Lobata,Labata,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=27921&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Holothuroidea,Holothurioidea,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7705&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Paraonidae,Levinseniidae,NA,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=903,,,
Scolecida_or,Scolecida,NA,NA,NA,NA,NA,dylans common sense,,,
Collodaria_fa,Collodaria,NA,NA,NA,NA,NA,dylans common sense,,,
Narcomedusae,Thalassanthae,NA,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=16349,,,
Pavlovophyceae_fa,Pavlovophyceae,NA,NA,NA,NA,NA,dylans common sense ,,,
Pavlovophyceae_or,Pavlovophyceae,NA,NA,NA,NA,NA,dylans common sense,,,
Pavlovophyceae_cl,Pavlovophyceae,NA,NA,NA,NA,NA,dylans common sense,,,
Echiuroinea,Echiuroidea,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=41798&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Phalacroma,Oxyphysis,NA,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109466,,,
Eunicida,Euniphysidae,NA,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=966,,,
Anthoathecata,Anthoathecatae,Anthomedusae,Athecata,Gymnoblastea,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=406427&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Heteronemertea,Heteronemertini,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6219&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Anopla,Pilidiophora,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6218&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Veneroida,Venerida,NA,NA,NA,NA,NA,http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=130,,,
Clavispora-Candida_clade,Clavispora,NA,NA,NA,NA,NA,common sense,,,
Zoantharia,Hexacorallia,NA,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1340,,,
Terebellida,Terebellidae,Seraphsidae,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=532214,,,
Coccolithales_fa,Coccolithales,NA,NA,NA,NA,NA,dylans common sense,,,
Coccolithales_or,Coccolithales,NA,NA,NA,NA,NA,dylans common sense,,,
Rhodymeniophycidae_fa,Rhodymeniophycidae,NA,NA,NA,NA,NA,dylans common sense,,,
Rhodymeniophycidae_or,Rhodymeniophycidae,NA,NA,NA,NA,NA,dylans common sense,,,
Florideophycidae,Florideophyceae,NA,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=854,,,
Corallinophycidae_fa,Corallinophycidae,NA,NA,NA,NA,NA,dylans common sense,,,
Corallinophycidae_or,Corallinophycidae,NA,NA,NA,NA,NA,dylans common sense,,,
Cryptomonadales_fa,Cryptomonadales,NA,NA,NA,NA,NA,dylans common sense,,,
Cryptomonadales_or,Cryptomonadales,NA,NA,NA,NA,NA,dylans common sense,,,
Cryptomonadales_cl,Cryptomonadales,NA,NA,NA,NA,NA,dylans common sense,,,
Pyramimonadales_fa,Pyramimonadales,NA,NA,NA,NA,NA,dylans common sense,,,
Stolidobranchia,Ptychobranchia,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=159225#null,,,
Candida-Lodderomyces_clade,Lodderomyces,NA,NA,NA,NA,NA,common sense; https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=36913&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Isochrysidales_fa,Isochrysidales,NA,NA,NA,NA,NA,dylans common sense,,,
Isochrysidales_or,Isochrysidales,NA,NA,NA,NA,NA,dylans common sense,,,
Apiales_fa,Araliales,Apiales,NA,NA,NA,NA,dylans common sense,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=4036&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Apiales,Araliales,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=4036&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Chlamydomonadales_fa,Chlamydomonadales,NA,NA,NA,NA,NA,dylans common sense,,,
Chlorellales_fa,Chlorellales,NA,NA,NA,NA,NA,dylans common sense,,,
Chromulinales_fa,Chromulinales,NA,NA,NA,NA,NA,dylans common sense,,,
Tremellales,Christianseniales,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5234&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Oxyphysis,Phalacroma,NA,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109563,,,
Spongillida,Spongillina,NA,NA,NA,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=845456,,,
Pucciniaceae,Zaghouaniaceae,NA,NA,NA,NA,NA,http://www.mycobank.org/Biolomics.aspx?Table=Mycobank&MycoBankNr_=81311,,,
Pucciniales,Uredinales,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5258&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Scleractinia,Madreporaria,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6125&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Candida_glaebosa_clade,Glaebosa,NA,NA,NA,NA,NA,common sense,,,
Pedinellales_fa,Pedinellales,NA,NA,NA,NA,NA,dylans common sense,,,
Vanrija,Asterotremella,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1851468&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Clitellata,Oligochaeta,Hirudinea,Oligochaeta,Enchytraeida,Enchytraeina,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=568832#null,,,
Asterales_fa,Asterales,NA,NA,NA,NA,NA,dylans common sense,,,
Asterales,Campanulales,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=4209&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Chlorodendrales_fa,Chlorodendrales,NA,NA,NA,NA,NA,dylans common sense,,,
Brassicales_fa,Capparales,Brassicales,NA,NA,NA,NA,dylans common sense,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=3699&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Brassicales,Capparales,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=3699&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Leptothecata,Calyptoblastea,Leptomedusae,Leptothecatae,Thecata,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=500008&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Tetractinellida,Spirophorida,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1779164&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Pseudochaete,Hymenochaetopsis,NA,NA,NA,NA,NA,"S.H. He & Jiao Yang, 2016 (NCBI)",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1902455&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Erysiphaceae,Podosphaera,NA,NA,NA,NA,NA,Braun et al. 2018,http://public.bibliothek.uni-halle.de/index.php/schlechtendalia/article/view/676/702,,
Erysiphales,Pyrenomycetes,Plectomycetes,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5120&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Russulales,Hericiales,Stereales,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=452342&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Ctenostomatida,Ctenostomata,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=51985&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Gymnolaemata,Cheilo-Ctenostomata,Eurystomata,NA,NA,NA,NA,Silen et al. 2012,https://www.tandfonline.com/doi/abs/10.1080/00785326.1972.10430099?casa_token=2z93Q5QdEwkAAAAA:H_8fcUdn89G13c5XeqD0uRgYJ-552mvQnEG1oGIi38KvbnrgCQ9w1ErrwMVTLBRI-O75C8_bmK-w12E#aHR0cHM6Ly93d3cudGFuZGZvbmxpbmUuY29tL2RvaS9wZGYvMTAuMTA4MC8wMDc4NTMyNi4xOTcyLjEwNDMwMDk5P25lZWRBY2Nlc3M9dHJ1ZUBAQDA=,,
Stramenopiles_ph,Stramenopiles,Heterokonta,Straminipila,Chromophyta,NA,NA,dylans common sense,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=33634&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Fabales_fa,Fabales,NA,NA,NA,NA,NA,dylans common sense,,,
Kodamaea-Candida_clade,Kodamaea-Candida,Kodamaea,NA,NA,NA,NA,dylans common sense,,,
Agaricales,Hymenogastrales,Lycoperdales,Nidulariales,Tulostomatales,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5338&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Caliciales,Physciineae,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1302181&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Polyporales,Aphyllophorales,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=5303&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Laminariales_fa,Laminariales,NA,NA,NA,NA,NA,dylans common sense,,,
Yamadazyma-Candida_clade,Yamadazyma-Candida,Yamadazyma,NA,NA,NA,NA,dylans common sense,,,
Bdelloidea,Bdelloida,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=58246#null,,,
Gomphaceae,Clavariadelphaceae,Ramariaceae,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60108&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Gomphales,Gautieriales,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=452336&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Harrimaniidae,Protoglossidae,Saxipendiidae,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=158618#null,,,
Enteropneusta_or,Enteropneusta,NA,NA,NA,NA,NA,dylans common sense,,,
Dentaliida,Dentalida,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=566848#null,,,
Ulvales_fa,Ulvales,NA,NA,NA,NA,NA,dylans common sense,,,
Haptophyceae,Haptophyta,Prymnesiophyceae,Prymnesiophyta,Chromophyta,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2830&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Aphelidea,Aphelida,Aphelidiomyceta,Aphelidiomycota,Aphelidiomycotina,Aphelidiomycetes,Aphelidiaceae,Adl et al. 2019,,,
